handlebars,"I can ride my bike with no handlebars. No handlebars. No handlebars. I can ride my bike with no handlebars. No handlebars. No handlebars. Look at me. look at me. hands in the air like it's good to be. ALIVE. and I'm a famous rapper. even when the paths're all crookedy. I can show you how to do-si-do. I can show you how to scratch a record. I can take apart the remote control. And I can almost put it back together. I can tie a knot in a cherry stem. I can tell you about Leif Ericson. I know all the words to \""De Colores\"". And \""I'm Proud to be an American\"". Me and my friend saw a platypus. Me and my friend made a comic book. And guess how long it took. I can do anything that I want cause look. I can keep rhythm with no metronome. No metronome. No metronome. And I can see your face on the telephone. On the telephone. On the telephone. Look at me. Look at me. Just called to say that it's good to be. ALIVE. In such a small world. All curled up with a book to read. I can make money open up a thrift store. I can make a living off a magazine. I can design an engine sixty four. Miles to a gallon of gasoline. I can make new antibiotics. I can make computers survive aquatic conditions. I know how to run a business. And I can make you wanna buy a product. Movers shakers and producers. Me and my friends understand the future. I see the strings that control the systems. I can do anything with no assistance. 'Cause I can lead a nation with a microphone. With a microphone. With a microphone. And I can split the atom of a molecule. Of a molecule. Of a molecule. Look at me. Look at me. Driving and I won't stop. And it feels so good to be. Alive and on top. My reach is global. My tower secure. My cause is noble. My power is pure. I can hand out a million vaccinations. Or let'em all die in exasperation. Have'em all heal from the lacerations. Have'em all killed by assassination. I can make anybody go to prison. Just because I don't like'em and. I can do anything with no permission. I have it all under my command. Because I can guide a missile by satellite. By satellite. By satellite. And I can hit a target through a telescope. Through a telescope. Through a telescope. I can end the planet in a holocaust. In a holocaust. In a holocaust. In a holocaust. In a holocaust. In a holocaust. I can ride my bike with no handlebars. No handlebars. No handlebars. I can ride my bike with no handlebars. No handlebars. no handlebars"
airplane mode,Cowboys in a spaceship. The crowd noise is wasted. Women take pics so they can seem naked. Guys tell jokes so they can see ‘em naked. Church ladies vote what they perceive sacred. Proposition hatred. Phosphorous in riverbeds. Billion dollars spilled to fill esophagus with cigarettes. Philosophers plots to maul nations out of shock and awe. Generation of ideas. Children who won’t talk at all. Profits fall. Chalk on walls. Years spent on prison cells. Next to die. Living hell. His twelve peers didn’t exercise their privilege well. Babies raised through the glass. Bullets at the border war games take a stab. Coordinate who can pass like a paper bag. Minutes on an internet pornpage fornicate make her gag. What’s the damage for the neighbor tagged by the amateur?. Water blast erase the trace of the canisters. Waterpath took the stairways left the banister. Washed over premises turned up percentages. Lost under sludge lots of revised sentences. Defense budgets padded by sandbags and sandwiches. Wasted. Drag this baggage. Hold this Damage. Cope the best that we can manage. Want solutions. Needs new standards. Cry our beauty from the ashes. To do list throw away mail go buy envelopes. Who’s this coulda-been-Rhodes’-Scholar-centerfold. Every day’s a resource to be sure. Its integral to rebirth from t-shirts to minerals. The ward’s filthy. Search for another light in town. Nobody else home. Can’t carry their same load. But I feel guilty like the flight went down. And my cell phone wasn’t on airplane mode. Soy-based newsprint. Blackmarket foodstamps. Poison in the Pete moss. Suffocated beatbox. B-boys in detox. Corrugated cardboard. Lockheed lobbyists floor debating star wars. Yeast and fungi. Springtails ants and nematodes. Sawdust yellowcake. Organics decompose. Bokashi EM-inoculated wheat bran. Toxic compounds broken down under coffee ground. Ancient carcasses in the sphagnum lost and found. Empty cartridges from a magnum. Tossed into agricultural lime rockflour and seaweed meal. Bioremediate man-made molecules. Wasted. Ashes to eggshells. Woodchips to whiskers. Anything we can mess up we can fix up. Sword to plowshare. Soiled from beneath the trash. Detroit red into El-Hajj Malik Shabazz. Oildrum to steelpan. Prisoner to Gramsci. Rose from the concrete. Reverse the flows of the Ponzi schemes. Cripwalk to a conscious beat. Hip-hop is a compost heap. Gangsters to gardeners. Rivals into partners. Fanatics to reformers. Felons into farmers. Inmates to fathers of innercity scholars. Poptart to salad. Teens into college. Lawns into restaurants. Centerfold models to artists. Police abuse to catharsis. Street sergeants into peace departments. Thousand dollar bills to green for all markets. Backlots to blacktops and cashcrops for have nots. Metal into scrap shops. Jobs for the cast-offs. Crackspots into earthships for urban astronauts. Reservation into reservoir. Of wisdom we used to know. Use the whole animal. Landfill to future home. Pacifist guerrillas to bazooka zones. Black hawks to attics. C-130’s to superdome. Newborns on computerphones. So the smile’s not wasted. --------. Por Filipe de Menezes =)
panacea for the poison,In my mind I hold the passion panacea for the poison. My bruised and battered body washes up upon the shore sin. Flees from leaking wounds like rate from sinking ships. As I float off to forever with these words upon my lips. No I never asked for nothing and that’s just what I got. As my pride dies before I do as I fall I’m also caught. I wasted many days chasing brightly gleaming streams. As I fold into your presence do I now know what it means. We could get old and talk at the same time when we tell stories. If we let go impossible names rhyme in elegant poetry. But I dabble in everything. It inundates my small town. I refuse the offers extended waiting for God now. I never asked for nothing audible. So when the walls fall down and spin like waterwheels. I’ll pray for something logical. So when we all drown. I can cover bald spots with yarmulkes. Drawn from extradimensional sources like in comic books. Chose your own adventure. I’m obsessing like a drug fiend. Fantasies of actors clandestinely having sex in love scenes. But why not amateurs openly sharing love in sex scenes?. Stand clear while I soak in this treasure trove of a wet dream. I can’t tell what my problem is or even if there is one. Sail the celibacies much sooner than commitment. Escaping minor shake-ups but keep bracing for the big one. To make the choices obvious and save us from decisions. I juggled whimsy in a fire fight. With the inner light of fire flies. Watched dusk go indigo. And blush into a silent night. Birthed an immaculate concept. From a pregnant pause. In the august of my righteousness. Just waiting for the fall. The greater and the small. All for one and one for all. For all those s.o.s’ing we will rise to the call. I’ve bitten the hand that feeds and found myself bleeding. Hereby I’ll only need what I need. But need’ll get me out of my groove. So I move to different tunes. Sunning in warm weather by the light of blistered moons. Thirst statement inundation. Bring the monsoon. Seasoned with the spectacle of people finding tools. Appetite has grown fools. Empire has sown rules. Let’s throw out craving and things with no use. People dropping jewels. Gems cant shine like our light. To air is human. So the sky is our birthright. ------------------. Por Filipe de Menezes =)
airplane mode,Cowboys in a spaceship. The crowd noise is wasted. Women take pics so they can seem naked. Guys tell jokes so they can see ‘em naked. Church ladies vote what they perceive sacred. Proposition hatred. Phosphorous in riverbeds. Billion dollars spilled to fill esophagus with cigarettes. Philosophers plots to maul nations out of shock and awe. Generation of ideas. Children who won’t talk at all. Profits fall. Chalk on walls. Years spent on prison cells. Next to die. Living hell. His twelve peers didn’t exercise their privilege well. Babies raised through the glass. Bullets at the border war games take a stab. Coordinate who can pass like a paper bag. Minutes on an internet pornpage fornicate make her gag. What’s the damage for the neighbor tagged by the amateur?. Water blast erase the trace of the canisters. Waterpath took the stairways left the banister. Washed over premises turned up percentages. Lost under sludge lots of revised sentences. Defense budgets padded by sandbags and sandwiches. Wasted. Drag this baggage. Hold this Damage. Cope the best that we can manage. Want solutions. Needs new standards. Cry our beauty from the ashes. To do list throw away mail go buy envelopes. Who’s this coulda-been-Rhodes’-Scholar-centerfold. Every day’s a resource to be sure. Its integral to rebirth from t-shirts to minerals. The ward’s filthy. Search for another light in town. Nobody else home. Can’t carry their same load. But I feel guilty like the flight went down. And my cell phone wasn’t on airplane mode. Soy-based newsprint. Blackmarket foodstamps. Poison in the Pete moss. Suffocated beatbox. B-boys in detox. Corrugated cardboard. Lockheed lobbyists floor debating star wars. Yeast and fungi. Springtails ants and nematodes. Sawdust yellowcake. Organics decompose. Bokashi EM-inoculated wheat bran. Toxic compounds broken down under coffee ground. Ancient carcasses in the sphagnum lost and found. Empty cartridges from a magnum. Tossed into agricultural lime rockflour and seaweed meal. Bioremediate man-made molecules. Wasted. Ashes to eggshells. Woodchips to whiskers. Anything we can mess up we can fix up. Sword to plowshare. Soiled from beneath the trash. Detroit red into El-Hajj Malik Shabazz. Oildrum to steelpan. Prisoner to Gramsci. Rose from the concrete. Reverse the flows of the Ponzi schemes. Cripwalk to a conscious beat. Hip-hop is a compost heap. Gangsters to gardeners. Rivals into partners. Fanatics to reformers. Felons into farmers. Inmates to fathers of innercity scholars. Poptart to salad. Teens into college. Lawns into restaurants. Centerfold models to artists. Police abuse to catharsis. Street sergeants into peace departments. Thousand dollar bills to green for all markets. Backlots to blacktops and cashcrops for have nots. Metal into scrap shops. Jobs for the cast-offs. Crackspots into earthships for urban astronauts. Reservation into reservoir. Of wisdom we used to know. Use the whole animal. Landfill to future home. Pacifist guerrillas to bazooka zones. Black hawks to attics. C-130’s to superdome. Newborns on computerphones. So the smile’s not wasted. --------. Por Filipe de Menezes =)
anne braden,"From the color of the faces in sunday's songs. To the hatred they raised all the youngsters on. Once upon a time in this country long ago. She knew there was something wrong. Because the song said yellow, red, black, and white. Everyone precious in the path of christ. But what about the daughter of the woman cleaning their house. Wasnt she a child they were singing about. And if jesus loves us black or white skin. Why didn't her white mother invite them in?. When did it become a room for no blacks to step in?. How did she already know not to ask the question. Left lasting impressions. Adolescence's comforts gone. She never thought things would ever change. But she always knew there was something wrong. She always knew there was something wrong. Years later she found herself mississippi-bound. To help stop the legalized lynching. Of mr. willie mcgee. But they couldnt stop it. So they thought that theyd talk to the governor. About what happened. And say were tired of being used. As an excuse to kill black men. But the cops wouldnt let em past and. These women they struck em as uppity. So they hauled em all off to jail. And they called it protective custody. Then from her cell she heard her jailers. Grumbling about outsiders. And when she called him out. And said she was from the south they shouted. Why is a nice southern lady. Making trouble for the governor?. She said, i guess im not your type of lady. And i guess im not your type of southerner.. But before you call me traitor. Well its plainest just to say. I was a child in mississippi. But im ashamed of it today. . Imagine the world that youre standing within. All of your neighbors and family and friends. How would you cope. Facing the fact. The flesh on your hand. Was tainted with sin. She faced it every day. People she saw on a regular basis. People she loved in several cases. People she knew were incredibly racist. It was painful. But she never stopped loving them. Never stopped calling their name. And she never stopped being a southern woman. And she never stopped calling for change. And she saw that her struggle. Was in the tradition. Of ancestors never aware of her. It continues today. The soul of a southerner. Born of the other america"
by the time you get this message,By the time you get this message. I will be behind the wheel. Watching dotted yellow hexagrams stretch into the dark. Left hand surfing on iced tinged winds. Chewing up a cardboard box. Singing at lung top. One stop left ’til I meet you in the concourse. St. Louie encore. Do we have a shot?. Caught. No dwelling on the thought. Of what the hell we haven’t got. So I’m headed from the dot to the spot. Where your plane touches down. For a six hour layover. Don’t say a word. I found it on the map. Calculated it. Just a half a day to get from where you’re not to where you will be. My hair is filthy. I’m drinking coffee. I can barely feel the trace. From the only time you kissed me on the face. Question mark space. I know you’re with me underneath the starscape. Treadmill pick up our pace. Headstart on a jet in a car chase. Is this the part where my heart breaks. One asleep one awake. Back to back ‘cause you wouldn’t turn towards me. Had me battling fractals keeping track of all the chords we created. Sound clash of swords. Back and forth. Couldn’t poke through the sash. Slash through the plasterboard. You packing your passport. Me on a crash course to show you that I have the passion that you asked for. Flooring the gas trying a fast forward fifteen months. I’ll see you once the sun shines through the glass above the dashboard. The stars I see aren’t even there. It’s only light in the air. By the time you get this message I’ll be either on my second flight. Or already all the way to my destination. Ridiculous that I could honestly expect you waiting at the gate when I arrive. A sixteen hour drive. I’ve been feeling so silly going on now several months. As our obsession runs together. And whoever comes to have you I’ll be jealous of. And when above all else you put her I’ll know what it was to feel so needed. Sorta wish that I was more of a romantic and could give you back the utmost. But I’ve never seen it up close. From everything that I can tell there are several possibilities. Maybe we‘re in love really. Maybe it’s too early to really see. Maybe we’re just searching for something to hold onto amidst confusion and fragility. Maybe we’ve lost all sensibility. Will it be come our Splendor in the Grass. When the facts have asserted themselves. And the memories pass into poetry and words that retell. What only then can we be sure that we felt. Guess I prefer to be unhappy. Or weren’t you looking at me when my back became a wall. Searched for your reflection saw exactly what you saw. Two kinds of different skin. Two minds exist within. Trying to just transcend all space and time. And lift their chin and find some sense of purpose. Some sense of hope. Press my cheek against the window surface. We’ve been afloat. But now I’m nervous. Has this been a joke?. We’re landing and it’s time to close the envelope. Maybe I’ll see you at the finish line
combat,I know how to rip a mike different. I grip it like so. Tight like a kryptonite with a bike pole. Sparks from my lips ignite liquid nitro. No telling if it might blow. The environments' gotta be hotter. Than solder beside the iron. Zinc vitamins. Hide'em inside when i'm writing the rhymes. It's hard to keep property guarded. Because of these pirates. I motivate. No debate. We're takin it over. Make no mistake. Youre fake and there's no escape. Cuz you got caught. Frozen waitin for the crosswalk. I can take it to another level. Where the base is above the treble. And your face is in double. Evasiveness doesnt settle it. A place and a space. Where theres nothing to meddle with. Combat to get you to bomb back. Blond black lets get beyond that. Sing songs that attack with strong raps. 321 contact. Sans paddle we swim the long laps. Swans flap to get the pond packed. Want sass kiss my moms ass. Wrong tact convict you en mass. Take it back like linda ronstadt. Or luke sky with a twisted long hat. Ton ton fat subsisting on that. Tom tom hi hat. Insist upon that. Listen to jon rap. This is combat. To get you to bomb back. Two fisted contact to. Get the pond packed. Cause im on some shit that exist beyond that
cracks in the surface,"The water level’s rising. The water level’s rising. Everyone alive sing. Who will turn the tide. Bring about land grabs. Sand bags bring’em out. It’s hard to yell with the Atlantic in your mouth. Cracks in the surface. Cracks in the surface…. Tck tck tck tck…. One becomes two becomes three becomes four. Our soundwaves run your city like parkour. Provokin’ encores but we know you want more. That’s what we’re doing this for. Four becomes three becomes two becomes one. The metamorphosis cannot be undone. We burst forth from the land toward the sun. And transform. The advance has begun. Like Mary J. I’m oBliged. To hollerate and prophesy. Nostradamus on the topics. Often dropped. On open mics. When both sides are vocalized. The crowd spits. The dopest lines. Efforts gain significance. Like overdrives. Of dopamine. Rappers act like they smell like roses. Suffer from chronic halitosis. Their hazardous sadistic recipes are out of focus like a cloud of locusts. Plus their rhymin style is atrocious. We’re supercalifragilisticexpialidocious. With a hand motion. We stand revolting. We’re calling out all Emperors in no clothing. Intelligence quotient. Amassed to challenged oceans. Outlast the isms, ists, ologies and slogans. These narcissists forget to do their exercise. Confused by what success implies. Name drop successive tries. In drive thrus to get extra fries. Emancipating free speech when I run my mouth. Terminal cancer patients say “Hey when’s the C.D. coming out?”. Break it down to the essence of raw. One two check the mic, Stephen’s like, every guy. Walk tall in the hallways. And make note of which ones step aside. Left and right, guess my pride. Of lying is probable pesticide. Infected by the viruses that bedbugs are infested by. Rhyming enigma I keep ‘em guessing. My rhymes are like ribbons when. I wrap the present. Recapture lessons. The ancestors prefaced. In deference to how we. Break it down to the essence. ‘Cause there’re cracks in the surface. Nobody wants to see ‘em. Strategic wargames don’t call ‘em human beings. They call ‘em like they want ‘em for a prop in their battlerap. But Solomon and Math will dap after. Play the track backwards ’cause there’s too much death energy. Let it be a muse sing to your best enemy. Never let it be your task master. Let’s finish things alive with oppression and disaster diminishing"
defend atlantis,"That was as far as the tide came in. I remember the starfish and the wails of the sirens then. We replaced the tridents, embraced Poseidon. And discovered ourselves living on an island. We flow like water across the lost city. Chalk prophecies and washed off graffiti. In continents. Trade off for payoff. And high concepts then lost to K-Os. Many tales radiate from one nexus. Defending a dream of a new directive. A call from the deep sums up a notion. The day when the people bum rushed the ocean. From the beaches they ran to meet the day after. Underneath the waves won’t repeat the same chapter. Knew what they had to do. That which creates life has power to take it right back. Fucking with the icecaps. We’ve gotta push the tide back. We can survive collapse if we don’t get sidetracked. If we visualize living underwater hidden by prisms. Countries fall but people transition if one for all we live in that vision. Hundred dollar bill origami. Balloon inflation new world economy. We float on tsunami to global warming. We need structures to control what’s coming. Corporate monopolies obsolete. The philosophy leaves us lost at sea. But from Marwar to Cochabamba. We are the warriors that won’t get conquered. ‘Cause rising tides drown all villages. Divided fighters succumb to pillage. Rescuers whatever your latitude. It’s time to pioneer a new world attitude. Put local cycles first we’re Global Islanders with nothing left to plunder. (Alert the law alternate nations train in the streets. Act to limit all non-transparent industries so. We must defend Atlantis. Anchor the land and never transform into seas. Assets to liquify all netted toxic indices so. We must defend Atlantis). For centuries human beings have pursued the meaning of Atlantis. Central to their teaching is that it’s existence answers man’s essential questions. Much like the feeding of the 5,000. Even if the facts aren’t accurate the story’s magic is alive. Of utmost importance to convert the impertinent. Atlantis holds the answer to man‘s ills at their most pertinent. Aspersions easily dispersed when I certainly answer. The most diverse aversions when I firstly channel _. Is this all that you hold. For a warriors role. The ground shakes. You claim my country not my soul. I fought I toiled, for the lost in the waves I will not tire. I die no slave. If the seas my grave. I sleep with my city. My people my oath. My shame my city is that. I cannot save my city. From waves that claim you. And curse the gods who can’t explain. Who to blame. At the end of the reign. Heed me. The season passes Atlas. His keeps in the sediment. Failing monumentally. And leaving no monuments to see. Only sea to shining sea. (Assess the loss as new tidal inundations surface. Amidst the legions are now thousands in starfish. We must defend Atlantis. As the land acquiesces no tears in sympathy. Address the legacy and never treat it separately. Access telepathy last as neverending transcendency…). And survival hinged on an attempt by the humble. And the sirens wailed as the empire crumbled…. With nothing left to plunder corporations drowned. Waves clapped like thunder and stormed the gates with sound. Forming a new nation now. As the icecaps melted water levels rose. We raised our hands together and made the levees hold. Heals in the sand we revealed the depths below. The population of starfish exploded from the ocean. Survival we unified to focus on. And the voices were many but we spoke as one. As the tale was retold we multiplied. And swelled across the faultlines to halt the tide. We let the altars die to keep our pulse alive. And from the barren wastelands of naked trash. We stitched together a shelter from fallen nation’s flags. And chose to build a future from an ancient past. The crowns of thorns was worn we put the tritons down. We found new forms of anchors deep inside the ground. The world is an island now"
fight with tools,"Echo echo one-nine. Hear the call through fault lines. Smoke signals old rhymes. Shorted lights in store signs. Spelled in a broken code. Find that it is time to. Breath build bend and refine you. We sky tenants. Give it all but wont give up. Radio soul antennas. Radio to lift spirits. Call sign commando. M.o. is independence. Scream till the walls fall,. Dissolve all the limits. Occupied minds. Unemployed skills. Desolation. Worn out. Torn down. Just for now thrill seekers. Slanging. Test tube babies in beakers. Where gun blasts pump straight from the speakers. The system where the. Poor get poorly paid. To hold the ladder. Where the rich get ricocheted. Into the stratosphere. And in between people are rushin' like vladimir. With metals to make their status clear. Get us out of here. We need heroes. Build them. Don't put your fist up. Fill them. With our hopes and our hearts and our hands. We're the architects of our last stand. There's a war going on for your mind. Those who seek to occupy it will stop at nothing. The battlefield is everywhere. There is no sanctuary. There are no civilians. You have two choices. Surrender or enlist. What kind of person are you. Always the first to argue. Or never down to stick your neck out. Cause it hurts you far too much. To see your rep suffer. Set you up a buffer. Well neither is enough for us cut from a tougher brand of duct tape. The propaganda's stuck on us like sock pajamas. Spread like a virus. Through accepted thoughts and proper manners. But off the cameras. Something's simmering across the land. About to bubble up. And knock the lids off of the pots and pans. We are non stop juggernauts. Stomp ziggurats. Spit manifestos. By terabytes and gigawatts. Shock paradigms. Give sense to a score. Throw thoughts through the sky. Activate twenty more. In these high and dry times. Expectorate on dogma. Pragmatic sycophants. Divide and conquer. We build bridges offer. Hard work and prosper. As hand made heroes brought to you by no sponsors. All free minds to the front. All free minds to the front. We call upon women. We call upon children. We call upon the handicapped. The infirmed. The week of heart. We need your courage. Your dedication. Your passion. Your commitment. Gather up your platinum. Melt it down. Gather up your gold. Melt it down. Gather up your bronze. Your silver. Your aluminum. Melt it down. Melt it down. Melt it down"
