lovefool,"Dear, I fear we're facing a problem. You love me no longer, I know. And maybe there is nothing. That I can do to make you do. Mamma tells me I shouldn't bother. That I ought to stick to another man. A man that surely deserves me. But I think you do!. So I cry, and I pray, and I beg.... Love me, love me,. Say that you love me. Fool me, fool me,. Go on and fool me. Love me, love me,. Pretend that you love me. Leave me, leave me,. Just say that you need me. So I cry and I beg for you to.... Love me, love me,. Say that you love me. Leave me, leave me,. Just say that you need me. I can't care about anything but you.... Lately I have desperately pondered,. Spent my nights awake and I wonder. What I could have done in another way. To make you stay. Reason will not lead to solution. I will end up lost in confusion. I don't care if you really care. As long as you don't go. So I cry I pray and I beg.... Love me, love me,. Say that you love me. Fool me, fool me,. Go on and fool me. Love me, love me,. Pretend that you love me. Leave me, leave me,. Just say that you need me. So I cry and I beg for you to.... Love me, love me,. Say that you love me. Fool me, fool me,. Go on and fool me. Love me, love me,. Pretend that you love me. Leave me, leave me,. Just say that you need me. I can't care about anything but you.... Anything but you.... Love me, love me say that you love me. Fool me fool me,. Go on and fool me. Love me, love me. I know that you need me. I can't care about anything but you..."
my favourite game,"I don't know what you're looking for. You haven't found it baby, that's for sure. You rip me up, you spread me all around. In the dust of the deed of time. And this is not a case of lust, you see. It's not a matter of you versus me. It's fine the way you want me on your own. But in the end it's always me alone. And I'm losing my favourite game. You're losing your mind again. I'm losing my baby. Losing my favourite game. I only know what I've been working for. Another you so I could love you more. I really thought that I could take you there. But my experiment is not getting us anywhere. I had a vision I could turn you right. A stupid mission and a lethal fight. I should have seen it when my hope was new. My heart is black and my body is blue. And I'm losing my favourite game. You're losing your mind again. I'm losing my favourite game. You're losing your mind again. I'm losing my baby. Losing my favourite game. I'm losing my favourite game. You're losing your mind again. I tried, I tried, (but you're still the same) I tried. I'm losing my baby. You're losing my saviour and saint"
nil,(music by Johansson). No Lyrics. .
marvel hill,"Strange to be on Marvel Hill. I've walked some years to find. I know there is a piece to fill. the gap I have in mind. No, nothing's here, I close my eyes. it's on the other side. And what I've worked so hard to gain. I'd gladly give away. 'cause I don't need this. I don't need it. I need more. a postcard from where life is athrill. on top of Marvel Hill. but I don't need this. I don't need it. I need more. no, I don' t need this. too good to be true. too good to ignore. I don't need this. I need so much more. It's too much to ask for."
paralyzed,"This is where your sanity gives in. and love begins. Never lose your grip. don't trip. don't fall. you'll lose it all. The sweetest way to die. It lies deep inside. you can not hide. it's the meanest fire. Oh, it's a strange desire. you can not lie. that's a needless fight. This is where your sanity gives in. and love begins. Never lose your grip. don't trip. don't fall. you'll lose it all. The sweetest way to die. When your blood runs dry. you're paralyzed. it will eat your mind. Did you hold it back. It comes to you in slow attacks. It's the meanest fire."
carnival,"I will never know. cause you will never show. come on and love me now. come on and love me now. Carnival came by my town today. bright lights from giantwheels. fall on the alleyways. and I'm here. by my door. waiting for you. I will never know. cause you will never show. come on and love me now. come on and love me now. I here sounds of lovers. barrel organs, mothers. I would like to take you. down there. just to make you mine. in a merry-go-round"
hanging around,I wonder what it's like. seeing through your eyes. You've offered me to have a try. but I was always late. The filters that I use. give me an excuse. I take away what's real. I feel it and it blows my fuse. I hang around. for another round. I'm hanging around. for another round. I'm hanging on. to the same old song. I hang around. for another round. Until somethings stops me. I wonder what it's like. walking by your side. To think before I talk. and to move at the same speed as you walk. I want to have a weight. to keep me in your state. I'm watching from above. I love it but it's not for me. I hang around. for another round. I'm hanging around. for another round. I'm hanging on. to the same old song. I hang around. for another round. Until somethings stops me.
explode,"Ease your trouble. we'll pay them double. not to look at you for a while. And you rely on. what you get high on. and you last just as long as it serves you. Explode or implode. explode or implode. we will take care of it. yes, we will carry you. 'cause you're deserted. what's good, you hurt it. and kills you it keeps you alive. so give it up. in a world of puppets. It's a shame what they do to us all. can we do anything for you now ?."
losing a friend,"You're losing a friend. You got it all wrong. It's not about revenge. You're losing a friend. I didn't see it coming. With my head stuck in the sand. But now I'm losing a friend. And it's keeping me up. It's the ribbons I tie. I would rather just die. Go to heaven, crawl back. Than let you go. You're losing a friend. You jeopardize me. Bad, bad blood on your hands. I see you're losing a friend. I'm flicke and I'm vain. And you trick me over and over again. And now I'm losing you. And it's killing me. It's the strings that I tie. I would rather just die. Go to heaven, crawl back. Than let it all go. My mistake. To lose you. Oh no, oh no. So this is the end now. I'm losing you. Oh, look at you!. Look what you wasted. You're losing a friend. Oh no, oh no. I'm losing a friend. Oh, oh oh no"
starter,This is a start. that I know I'll believe in. so I'm leavin' everything behind. Keeping the parts. that I know I'll be needing. and I breed to be a better kind. And I'm leavin' everyone behind. This is the age. when my past should be gone. but it's just stronger than the aims I have Turning the pages. I used to hang on to. I was young and I have changed my mind. And I'm leaving everything behind. New beginning again. a bit closer. new beginning again. a little bit closer. New beginning again. a bit closer to the end. This is the time. it's a delicate line. to the beginning of what's yet to come. Lifetimes of changes. a strange generation. explanations never come in time. So I'm leavin' everything behind.
higher,"I'm glad you came around today. I sure need a good companion. I'm losing it but you're the same. without you I move at random. Abusing 'cause you're a friend. and there's no Jesus here to explain. And take me higher. come take me higher. come take me high above our time. Take me higher. oh take me higher. come take me high above our time. We'll make it out of here… oh yeah. You justify, you're not afraid. and I won't feel like this forever. You wait with me, because you know. there's so much more than this before we go. To take us higher. come take us higher. come take us high above our time. Take us higher. oh take us higher. come take us high above our time. We'll make it out of here. come take us out of here. take us anywhere… oh yeah."
junk of the hearts,We never chose to part. in this stupid play. I never felt by heart. that I could behave. the way the roles were made. I know that I've done you wrong. but you're hard to please. When your faith is gone. and when you can't believe. I'm on my hands and knees. The junk of the hearts. I've given all of me. and you crave for more. Weird how this makes us feel. insecure. that's what friends are for.
do you believe?,"Do you really think. that love is gonna save the world. Well I don't think so. (Do you believe). I just don't think so. And do you really think. that love is gonna save your soul. Well I sure hope so. (Do you believe). Oh, I really, really hope so. But I don't think so. Do you really think. that love is gonna save the world. Well I don't think so. (Do you believe). I just don't think so. And do you really think. that love is gonna save your soul. Well I sure hope so. (Do you believe). Oh yes, I really, really hope so. I don't think so. (Do you believe) x3."
you're the storm,"oh it's healing - bang bang bang. I can hear your cannons call. you've been aiming at my land. your hungry hammer is falling. and if you want me I'm your country. I'm an angel bored like hell. and you're a devil meaning well. you steal my lines and you strike me dumb. come raise your flag upon me. and if you want me I'm your country. if you win me I'm forever - oh yeah!. 'cause you're the storm that I've been needing. and all this peace has been deceiving. I like the sweet life and the silence. but it's the storm that I believe in. come and conquer and drop your bombs. cross my borders and kill the calm. bear your fangs and burn my wings. I hear bullets singing. and if you want me I'm your country. if you win me I'm forever - oh yeah!. 'cause you're the storm that I've been needing. and all this peace has been deceiving. I need some wind to get me sailing. so it's the storm that I believe in. you fill my heart, you keep me breathing. 'cause you're the storm that I believe in. and if you want me I'm your country"
"i need some fine wine and you, you need to be nicer","Sit, good dog, stay, bad dog, down, roll over. Well here's a good man and a pretty young girl. Trying to play together somehow,. I'm wasting my life, you're changing the world,. I get drunk and watch your head grow. It's the good times that we share. and the bad times that we'll have. It's the good times. and the bad times that we had. Well it's been a long slow collision,. I'm a pitbull, you're a dog,. Baby you're foul in clear conditions. But you're handsome in the fog. So I need some fine wine, and you, you need to be nicer. For the good times and the bad times. That we'll have. Sometimes we talk over dinner like old friends. Till I go and kill the bottle,. I go off over any old thing,. Break your heart. and raise a glass or ten. To the good times that we shared and the bad times that we'll have. To the good times. and the bad time that we've had. Well it's been a long slow collision,. I'm a pitbull, you're a dog,. Baby you're foul in clear conditions. But you're handsome in the fog. So I need some fine wine and you, you need to be nicer. For the good times. and the bad times we know will come. Yeah. I need some fine wine. and you, you need to be nicer. you need to be nicer. you and me. For the good times. and the bad time that we had. Sit. Good times, bad times. Sweet wine, bad wine. Good cop, bad cop,. Lapdog, bad dog. Sit."
mr. crowley,"Mr. Crowley, what went on in your head?. Oh, Mr. Crowley, did you talk to the dead?. Your life style to me seemed so tragic. With the thrill of it all. You fooled all the people with magic. Yeah, you waited on Satan's door. Mr. Charming, did you think you were pure?. Mr. Alarming, in nocturnal rapport. Uncovering things that were sacred. Manifest on this Earth. Conceived in the eye of a secret. And they scattered the afterbirth. Mr. Crowley, won't you ride my white horse?. Mr. Crowley, it's symbolic, of course. Approaching a time that is classic. I hear that maiden's call. Approaching a time that is drastic. Standing with their backs to the wall. Was it polemically sent. l want to know what you meant. I want to know, I want to know what you meant, yeah"
gordon's gardenparty,"Words: Persson, Svensson. Music: Svensson. You in brown checked suit. said my dress was very cute. I found you found me. dancing in this melody. Heavenly!. We were swinging on so nice. bubbly pink champagne on ice. Nancy, Jacques Closeau and Claire. I believe they all were there. Having the time of their lives. You had Rose's lime. mixed with vodka, I had wine. People having fun. cocktails in the evening sun. Give me one!. We were swinging on so nice. bubbly pink champagne on ice. Nancy, Jacques Closeau and Claire. I believe they all were there. Having the time of their lives. La la la do de do de do. ."
give me your eyes,"Oh girl, look at yourself, what have you done. What have you become. Well, I couldn't say. Slow down and think of your heart, where do you go. Now, how am I supposed to know, I'm always looking away. Give me your eyes so I can see me straight. Give me your eyes. I can't tell night from day. Give me your eyes so I can see me straight. Give me your eyes and watch me walk away. Yeah, yeah, yeah. I took a look at myself. Nothing inside. Except for cigarettes and wine where there should be a life. You've been watching me for a while and you like what you see. It's in the eyes of the beholder. Now give them to me. Give me your eyes so I can see me straight. Give me your eyes that seem to light my face. Yeah, yeah, yeah. Oh mirror, mirror upon the wall. Who is the fairest of them all. Mirror, mirror made no reply. Mirror went black and cracked from side to side. Yeah, yeah, yeah. Oh girl, look at yourself, what have you done. What have you become. You know the camera don't lie. Give me your eyes so I can see me straight. Give me your eyes I can't tell night from day. Come give me your eyes so I can see me straight. Give me your eyes and watch me walk away. Yeah!. Give me your eyes. Give me your eyes. Yeah, yeah, yeah!"
for the boys,"Burn it all and break your home. This one's for the boys. You're a vain and shameless man. But hell, i love your voice. Skinny fingers and mumbling mouths. I'd like to mark your words. 'cause sometimes i don't trust you. When you're singing. Of love and play. It's the story of you. Losing to your daydream. You dancing with a smokescreen. Goin'under with your daydream. In the wake of the big machine. Honey honey and money and man. All my lonely boys. Easy with the slight of hand. You're talking sweet. 'bout the pain and the ladies. And sometimes you look ugly. When you're happy. And sometimes you look better. When you're down. A real good song. It's the story of you. Losing to your daydream. You dancing with a smokescreen. Goin' under with your daydream. You're sliding through the big sleep. Man, you can sing. Like you're tryin' to break my heart. And you can hate. And you can blame it on the stars. You're strung up in your guitar. You're strung out on who you are. Now come on boys, it's time you let it go. See me losing to your daydream. See me dancing with your smokescreen. Going under with your daydream. In the wake of the big machine. In the wake of the big machine. In the wake of the big machine"
for what it's worth,"One, two, three, four. Hey baby come round. Keep holding me down. And I'll be keeping you up tonight.. The four letter word got stuck in my head. The dirtiest word that I've ever said. It's making me feel alright.. For what it's worth I love you. And what is worse I really do. Oh what is worse I'm gonna run run run. 'Till the sweetness gets to you. And what is worse I love you!. Hey please baby come back. There'll be no more loving attack. And I'll be keeping it cool tonight.. The four letter word is out of my head. Come on around get back in my bed. Keep making me feel alright.. For what it's worth I like you. And what is worse I really do. Things have been worse. And we had fun fun fun. 'Till I said I love you. And what is worse I really do!. For what it's worth I love you. And what is worse I really do.. Oh. For what it's worth I love you. And what is worse I really do.. Oh. For what it's worth I love you. And what is worse I really do...."
03.45: no sleep,"It's way too late to think of. Someone I would call now. And neon signs got tired. Red eye flights help the stars out. I'm safe in a corner. Just hours before me. I'm waking with the roaches. The world has surrendered. I'm dating ancient ghosts. The ones I made friends with. The comfort of fireflies. Long gone before daylight. And if I had one wish fulfilled tonight. I'd ask for the sun to never rise. If God leant his voice to me to speak. I'd say go to bed, world. I've always been too late. To see what's before me. And I know nothing sweeter than. Champaign from last New Years. Sweet music in my ears. And a night full of no fears. But if I had one wish fulfilled tonight. I'd ask for the sun to never rise. If God passed a mic to me to speak. I'd say stay in bed, world"
a good horse,It takes no match to give me a spark. Now Iâ€™m trying out another heart. Iâ€™ve been winding â€˜bout a fresh start. Iâ€™ve found myself a good horse. Eyes burning on the quicksand. And I run it through the hollow land. Iâ€™ve fed it with a shaky hand. I found myself a strong horse. These are the promises I can keep. These are the promises I can keep. To live like I must. And ride with the dust in my face. In grace. Iâ€™ve found myself a good horse. Yes Iâ€™ve found myself a strong horse. But things remain not different then before. These are the promises I can keep. Yes these are the promises I can keep. To live like I must. And ride with the dust in my face. These are the promises I can keep. These are the promises I can keep. To live like I must. And ride with the dust in my face.
after all,after all you were perfectly right. but I'm scaring close to insanity. and on a night like this. nothing stays the same. nothing looks the same. after all you were perfectly right. though our relation just split me in two. and on a night like this. pieces fall apart. visions fall apart. after all you were perfectly right. I have never been happy before. and on a night like this. you can hear the words. see behind the words. after all you were perfectly wrong. though I thought I'd found love. and on a night like this. nothing could be worse. nothing could be worse.
and then you kissed me,"man, I've had a few. but they wouldn't quite blow me like you. you gave me your name and signed. with a halo around my eye. and it hit me like never before. that love is a powerful force. yes, it struck me that love is a sport. so I pushed you a little bit more. love, you're news to me. you're a little bit more than I'd thought you'd be. a mole in my well-fed lawn. you're a nightmare beating the dawn. oh, it hit me like never before. that love is a powerful force. yes, it struck me that love is a sport. so I pushed you a little bit more. blue blue, black and blue. red blood sticks like glue. true love is cruel love. red blood's a power-fuel. sweet love, tasty blood. my heart overfloods. oh, you hit me!. yeah, you hit me really hard. man, you hit me!. yeah, you hit me right in the heart. lord, I've had my deal. but I never quite knew how it feels. when love makes you wake up sore. with fists that are ready for more. and it hit me that love is a game. like in war, no one can be blamed. yes, it struck me that love is a sport. so I pushed you a little bit more. oh, blue blue, black and blue. red blood sticks like glue. true love is cruel love. red blood's a power-fuel. sweet love, tasty blood. my heart overfloods. man, you hit me!. yeah, you hit me really hard. baby you hit me!. yeah, you punched me right in the heart. and then you kissed me.... and then you hit me.... oh, you haunt me with your violent heartbeat at night. oh, you strike me with your silence baby, tonight. why you haunt me with your violence baby, come hit me!. you haunt me with your violent heartbeat.... -----------------------------------------------. All music by Peter Svensson [Stockholm Songs]. All lyrics by Nina Persson [Stockholm Songs]. (P) 2003 Stockholm Records"
and then you kissed me (parte 2),"slow dancing tight. my barring heart and i. your name used to taste so sweet. then you bit the love right out of me. it's a mystery how people behave!. how we long for a life as a slave. when he kissed me i gladly gave in. to a fight nobody could win. man, he left me blue. and if i could i would do it too. i tell you now like i told you before. love is a powerful force. and it's a mystery how people behave!. how we long for a life as a slave. and tumble into any open arms. that will only ever do you harm. oh, you you it's always you. the best kisser that i ever knew. true love is cruel love. not much to be proud of. nerve-wrecking acrobatic backwards bend. all for a happy end. it's a mistery how people behave!. how we worry ourselves to the grave. when he kissed me i lost everything. then i got up and did it again. oh you you, it's always you, the hardest hitter that i ever knew. true love is cruel love. not much to be proud of. ass-kissing mercy-missing faithless friend. all for a happy end"
beautiful one,Words: Sveningsson. Music: Svensson. Smooth dreams in leaves. raised in teacup. Sticked down to sleep. like an envelope. filled up with words for you. Wrapped up in curls. sweet as the summer. cheek soft as a fur. grace in a slumber. beautiful wonderboy. Soft beams from an early sun. on my truly beautiful one. shimmer from a Saturday sun. on my truly beautiful one. rise in the morning. shine 'til the dawning. Stretched out to breathe. down from the rooftops. sticked down to sleep. like an envelope. filled up with words for you. .
been it,"Baby boy. Your face is pretty and your life's a toy. Master man. I'm never better than your latest plan. Poor donee. What are you gonna try to be. Where are you gonna go without me now. I've been your mother, I've been your father. Who can ask me for more. I've been your sister, I've been your mistress. Maybe I was your whore. Who can ask me for more. Superstar. I've tried to educate your childish heart. I made your head. and I was in it when your faith was dead. Poor donee. What are you gonna try to be. Where are you gonna go without me now. Sweetiepie. I'm your personal pro, you know. You know what number to try when to cry."
black letter day,"I did all that I should, well all that I could. but will I be clean. I did all that I should, well all that I could. but it isn't me. all my strength is dead and gone. slept as long I could, as long as I should. to find comfort here. slept as long I could, as long as I should. but I still have fear. all my strength is dead and gone.... black letter day. all the fun / joy / strength. ..has gone away. I drank all that I could, much more than I should. in simple despair. I drank all that I could, much more than I should. to find someone there. I hope monday will be a better day."
blah blah blah,"hi. how are you?. i'm pretty fine.. Your eyes are red.. Well i am tired.. Please, please stay away from what is mine.. blah blah blah blah blah. My, I never thought I'd see you here.. Really glad to meet you, darling.. where, where did we lose such what do you call?. All we ever say is blah blah blah blah blah. We feel safe with blah blah blah blah blah. no one's hurt, no one's weird. so all we dare to say is blah blah blah blah blah. don't try to reach me. i am numb. i don't want to look inside you. so let's just talk about the times. like lots of people do. All we ever say is blah blah blah blah blah. We feel safe with blah blah blah blah blah. blah blah blah blah blah. blah blah blah blah blah blah. blah blah blah blah blah. All we ever say is blah blah blah blah blah. We feel safe with blah blah blah blah blah. no one's hurt, no one's weird. so all we dare to say is blah blah blah blah blah."
carnival,"I will never know. cause you will never show. come on and love me now. come on and love me now. Carnival came by my town today. bright lights from giantwheels. fall on the alleyways. and I'm here. by my door. waiting for you. I will never know. cause you will never show. come on and love me now. come on and love me now. I here sounds of lovers. barrel organs, mothers. I would like to take you. down there. just to make you mine. in a merry-go-round"
celia inside,"Words: Sveningsson. Music: Svensson. you don't want the sun to shine in. so you turn the curtains down. your eyes still don't show me a thing. and you don't feel it's sunny outside. you don't want no joy for a while. but you stay up late at night. it hurts you that she's still alive. so you'll raise flowerbeds inside. but she, she will not get bothered at all. she's just watching the water at fall. so you should give them just what they need. water and poetry. cause she will not bother at all. she's just watching the water at fall. you should give them just what they need. cause she will not bother at all. but you won't say you're not adored. by her beauty.... celia inside. you don't want to feel her at all. but who's that fellowman of hers. with who, your dear celia moved. and they'll sleep happily inside. ....but you won't say you're not adored. by her beauty. and her purity. and her lovely.... celia inside. ."
changes,I feel unhappy. I feel so sad. I've lost the best friend. That I ever had. He was my man. I loved him so. But it's too late now. I've let him go. I'm going through changes. I'm going through changes. We shared the years. We shared each day. In love together. We found the way. But soon the world. Had it's evil ways. My heart was blinded. Love went astray. I'm going through changes. I'm going through changes. It took so long. To realize. And I can still hear. Her last goodbye. Now all my days. Are filled with tears. Wish I could go back. And change theese years. I'm going through changes. I'm going through changes
choke,A common line. I closed my eyes. But couldn’t let it go. The perfect time. I dropped my guard. And lost but won somehow. It’s rather sad. It feels like we’ve never. Made it together since. One word ahead. And you’d be dead. I held you in my throat. I stumble by. Attached to you. I couldn’t let it go. It’s rather sad. It’s really sad. It feels like we’ve never. Made it together since. We’ll never have the guts. To discover. We’ll choke on it and die.
cloudy sky,Words/Music: Svensson. I'd catch some stars for you. and just for you. I'd paint the grey sky blue. and just for you. so don't tell me you want the rain. from a cloudy sky. to wash away the pain. that I've given you again. I've always tried to find. what satisfies your mind. but I will never know. where you are to go. but I want you to know. do you want a golden ring. I would buy you anything.. I'd read some poems for you. just for you. I hope they won't make you blue. like they used to do. so please tell me they're like the rain. from this cloudy sky. .
